[20240107] 24レース
  202[20240107] +7R (累計31R)
[20240108] +24R (累計55R)
curl: (7) Failed to connect to 127.0.0.1 port 36917 after 0 ms: Couldn't connect to server
11R 14頭 OK (4件目)
  202408020611 京都11R 12頭 OK (364件目)
  202408020612 京都12R 16頭 OK (365件目)
  202410020201 小倉1R 15頭 OK (366件目)
  202410020202 小倉2R 18頭 OK (367件目)
  202410020203 小倉3R 14頭 OK (368件目)
  202410020204 小倉4R 12頭 OK (369件目)
  202410020205 小倉5R 10頭 OK (370件目)
  202410020206 小倉6R 18頭 OK (371件目)
  202410020207 小倉7R 13頭 OK (372件目)
  202410020208 小倉8R 11頭 OK (373件目)
  202410020209 小倉9R 10頭 OK (374件目)
  202410020210 小倉10R 13頭 OK (375件目)
  202410020211 小倉11R 18頭 OK (376件目)
  202410020212 小倉12R 13頭 OK (377件目)
[20240217] 36レース
  202405010701 東京1R 16頭 OK (378件目)
  202405010702 東京2R 16頭 OK (379件目)
  202405010703 東京3R 16頭 OK (380件目)
  202405010704 東京4R 16頭 OK (381件目)
  202405010705 東京5R 18頭 OK (382件目)
  202405010706 東京6R 16頭 OK (383件目)
  202405010707 東京7R 16頭 OK (384件目)
  202405010708 東京8R 11頭 OK (385件目)
  202405010709 東京9R 10頭 OK (386件目)
  202405010710 東京10R 13頭 OK (387件目)
  202405010711 東京11R 10頭 OK (388件目)
  202405010712 東京12R 16頭 OK (389件目)
  202408020701 京都1R 15頭 OK (390件目)
  202408020702 京都2R 15頭 OK (391件目)
  202408020703 京都3R 16頭 OK (392件目)
  202408020704 京都4R 16頭 OK (393件目)
  202408020705 京都5R 14頭 OK (394件目)
  202408020706 京都6R 11頭 OK (395件目)
  202408020707 京都7R 11頭 OK (396件目)
  202408020708 京都8R 16頭 OK (397件目)
  202408020709 京都9R 9頭 OK (398件目)
  202408020710 京都10R 16頭 OK (399件目)
  202408020711 京都11R 18頭 OK (400件目)
  202408020712 京都12R 16頭 OK (401件目)
  202410020301 小倉1R 16頭 OK (402件目)
  202410020302 小倉2R 18頭 OK (403件目)
  202410020303 小倉3R 14頭 OK (404件目)
  202410020304 小倉4R 13頭 OK (405件目)
  202410020305 小倉5R 12頭 OK (406件目)
  202410020306 小倉6R 17頭 OK (407件目)
  202410020307 小倉7R 13頭 OK (408件目)
  202410020308 小倉8R 12頭 OK (409件目)
  202410020309 小倉9R 9頭 OK (410件目)
  202410020310 小倉10R 16頭 OK (411件目)
  202410020311 小倉11R 16頭 OK (412件目)
  202410020312 小倉12R 18頭 OK (413件目)
[20240218] 36レース
  202405010801 東京1R 16頭 OK (414件目)
  202405010802 東京2R 16頭 OK (415件目)
  202405010803 東京3R 16頭 OK (416件目)
  202405010804 東京4R 16頭 OK (417件目)
  202405010805 東京5R 12頭 OK (418件目)
  202405010806 東京6R 16頭 OK (419件目)
  202405010807 東京7R 16頭 OK (420件目)
  202405010808 東京8R 12頭 OK (421件目)
  202405010809 東京9R 11頭 OK (422件目)
  202405010810 東京10R 9頭 OK (423件目)
  202405010811 東京11R 16頭 OK (424件目)
  202405010812 東京12R 16頭 OK (425件目)
  202408020801 京都1R 12頭 OK (426件目)
  202408020802 京都2R 15頭 OK (427件目)
  202408020803 京都3R 15頭 OK (428件目)
  202408020804 京都4R 16頭 OK (429件目)
  202408020805 京都5R 13頭 OK (430件目)
  202408020806 京都6R 11頭 OK (431件目)
  202408020807 京都7R 8頭 OK (432件目)
  202408020808 京都8R 16頭 OK (433件目)
  202408020809 京都9R 13頭 OK (434件目)
  202408020810 京都10R 12頭 OK (435件目)
  202408020811 京都11R 13頭 OK (436件目)
  202408020812 京都12R 9頭 OK (437件目)
  202410020401 小倉1R 16頭 OK (438件目)
  202410020402 小倉2R 18頭 OK (439件目)
  202410020403 小倉3R 14頭 OK (440件目)
  202410020404 FAIL: Remote end closed connection without response
