| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| MINE | ワイド | blend | iso | exp | top1 | 4879 | 187 | 74.7 | 72.4 | 1.41 | 3.8330% | 0.061928 | 0.050760 |
| MINE | ワイド | blend | iso | exp | top3 | 14055 | 524 | 71.0 | 68.9 | 1.31 | 3.7280% | 0.058710 | 0.050528 |
| MINE | ワイド | blend | iso | exp | top5 | 21986 | 806 | 69.2 | 67.1 | 1.26 | 3.6660% | 0.055955 | 0.049297 |
| MINE | ワイド | blend | iso | exp | top10 | 35484 | 1228 | 71.3 | 69.1 | 1.21 | 3.4610% | 0.051115 | 0.046135 |
| MINE | ワイド | blend | iso | exp | top20 | 45302 | 1467 | 68.8 | 66.8 | 1.19 | 3.2380% | 0.047206 | 0.043010 |
| MINE | 三連複 | model | raw | floor | ev1.2 | 914365 | 564 | 43.1 | 43.7 | 3.09 | 0.0620% | 0.002306 | 0.001095 |
| MINE | 三連複 | model | raw | floor | top1 | 5014 | 11 | 21.8 | 21.8 | 11.46 | 0.2190% | 0.006949 | 0.001957 |
| MINE | 三連複 | model | raw | floor | top3 | 15025 | 29 | 25.3 | 25.3 | 10.03 | 0.1930% | 0.006384 | 0.001991 |
| MINE | 三連複 | model | raw | floor | top5 | 25004 | 40 | 19.8 | 19.8 | 9.20 | 0.1600% | 0.006069 | 0.001975 |
| MINE | 三連複 | model | raw | floor | top10 | 49794 | 70 | 33.8 | 33.8 | 7.99 | 0.1410% | 0.005557 | 0.001959 |
| MINE | 三連複 | model | raw | floor | top20 | 98315 | 128 | 38.9 | 38.9 | 6.76 | 0.1300% | 0.004888 | 0.001849 |
| MINE | 三連複 | model | iso | floor | ev1.2 | 867654 | 556 | 46.6 | 47.2 | 3.15 | 0.0640% | 0.002349 | 0.001106 |
| MINE | 三連複 | model | iso | floor | top1 | 5003 | 4 | 13.6 | 13.6 | 11.75 | 0.0800% | 0.005435 | 0.001268 |
| MINE | 三連複 | model | iso | floor | top3 | 14989 | 16 | 24.4 | 24.4 | 10.21 | 0.1070% | 0.005159 | 0.001350 |
| MINE | 三連複 | model | iso | floor | top5 | 24946 | 25 | 19.4 | 19.4 | 9.34 | 0.1000% | 0.004971 | 0.001388 |
| MINE | 三連複 | model | iso | floor | top10 | 49646 | 47 | 19.0 | 19.0 | 8.09 | 0.0950% | 0.004734 | 0.001475 |
| MINE | 三連複 | model | iso | floor | top20 | 98053 | 96 | 42.0 | 42.0 | 6.83 | 0.0980% | 0.004330 | 0.001495 |
| MINE | 三連複 | blend | raw | floor | ev1.2 | 120040 | 255 | 39.6 | 39.6 | 1.57 | 0.2120% | 0.004843 | 0.003247 |
| MINE | 三連複 | blend | raw | floor | top1 | 5001 | 52 | 104.9 | 104.9 | 1.89 | 1.0400% | 0.015993 | 0.011107 |
| MINE | 三連複 | blend | raw | floor | top3 | 14840 | 115 | 84.3 | 84.3 | 1.77 | 0.7750% | 0.013290 | 0.009465 |
| MINE | 三連複 | blend | raw | floor | top5 | 24461 | 154 | 71.8 | 71.9 | 1.70 | 0.6300% | 0.011738 | 0.008420 |
| MINE | 三連複 | blend | raw | floor | top10 | 47717 | 250 | 60.7 | 60.7 | 1.59 | 0.5240% | 0.009955 | 0.007350 |
| MINE | 三連複 | blend | raw | floor | top20 | 88835 | 421 | 60.3 | 60.3 | 1.48 | 0.4740% | 0.008274 | 0.006341 |
| MINE | 三連複 | blend | iso | floor | ev1.2 | 160536 | 236 | 43.4 | 46.5 | 1.58 | 0.1470% | 0.003315 | 0.002215 |
| MINE | 三連複 | blend | iso | floor | top1 | 4923 | 23 | 50.2 | 50.2 | 2.03 | 0.4670% | 0.008350 | 0.005208 |
| MINE | 三連複 | blend | iso | floor | top3 | 14637 | 64 | 61.7 | 61.8 | 1.89 | 0.4370% | 0.007769 | 0.005110 |
| MINE | 三連複 | blend | iso | floor | top5 | 24219 | 94 | 84.7 | 105.2 | 1.80 | 0.3880% | 0.007475 | 0.005074 |
| MINE | 三連複 | blend | iso | floor | top10 | 47432 | 165 | 62.2 | 72.7 | 1.68 | 0.3480% | 0.006824 | 0.004852 |
| MINE | 三連複 | blend | iso | floor | top20 | 89546 | 276 | 56.8 | 62.3 | 1.56 | 0.3080% | 0.005919 | 0.004412 |
